R-shoulder_x,R-shoulder_y,L-shoulder_x,L-shoulder_y,R-elbow_x,R-elbow_y,L-elbow_x,L-elbow_y,R-wrist_x,R-wrist_y,L-wrist_x,L-wrist_y,Label
801,651,270,646,996,986,127,956,840,930,347,803,A
801,652,269,644,1001,991,120,955,879,1000,321,822,A
800,654,270,643,997,996,116,946,824,924,311,833,A
802,657,269,646,996,996,121,949,829,924,301,844,A
805,660,270,644,994,998,130,957,829,914,312,831,A
789,674,271,665,982,1001,129,971,834,923,289,874,A
800,680,258,669,946,1007,127,1008,887,1127,288,852,A
788,701,228,670,936,1058,53,1025,899,1255,142,1087,A
786,699,216,675,946,1078,47,1036,901,1297,24,1258,A
791,699,216,671,941,1085,44,1028,896,1325,18,1275,A
794,695,220,669,949,1079,37,1020,900,1308,21,1259,A
803,694,226,669,951,1068,44,1020,909,1290,36,1253,A
803,693,230,669,954,1065,50,1017,913,1290,40,1229,A
807,692,230,670,959,1059,54,1018,917,1299,44,1258,A
806,692,231,671,952,1059,52,1015,913,1293,41,1240,A
807,695,224,673,952,1070,40,1033,913,1305,16,1276,A
803,695,227,673,951,1063,42,1031,922,1288,31,1247,A
796,694,229,671,950,1046,43,1013,922,1269,32,1197,A
796,692,229,671,952,1054,46,1017,903,1285,35,1239,A
797,692,231,669,957,1060,48,1015,914,1283,36,1241,A
801,694,236,669,956,1068,51,1013,912,1293,38,1249,A
796,696,237,666,948,1068,53,1012,901,1285,43,1227,A
799,696,238,667,952,1062,56,1011,913,1287,48,1222,A
800,689,239,665,957,1049,52,998,918,1284,38,1188,A
799,691,238,666,956,1059,51,1003,917,1287,24,1222,A
805,690,240,665,967,1056,55,1009,918,1295,43,1230,A
801,692,243,663,944,1056,58,996,894,1291,51,1176,A
